hash,cls,source,name,icon,score,verts,parts,ntex,height
0x2D883,npc,geometry,,,6.5,907,8,12,4554.2
0x2D942,npc,geometry,,,6.5,907,8,12,4357.3
0x2D945,npc,geometry,,,6.5,713,7,10,4919.0
0x2DB08,npc,geometry,,,6.5,713,7,10,9820.9
0x2DC7B,npc,geometry,,,6.5,823,5,7,2180.5
0x2DC8F,npc,geometry,,,6.5,766,2,4,2180.5
0x2DC96,npc,geometry,,,6.5,2495,11,15,4137.7
0x2E0B1,npc,geometry,,,6.5,767,4,8,4088.1
0x2DCC,npc,geometry,,,6.5,571,3,5,1873.1
0x2E0DF,npc,geometry,,,6.5,2230,5,3,71.1
0x2E12E,npc,geometry,,,6.5,535,4,8,1768.7
0x2E2A1,npc,geometry,,,6.5,766,2,2,794.2
0x2EDDC,npc,geometry,,,6.5,646,2,6,4776.2
0x2EDE1,npc,geometry,,,6.5,734,5,9,2910.5
0x3081F,npc,geometry,,,6.5,823,3,5,200.5
0x2EA32,npc,geometry,,,6.5,3780,7,14,5834.1
0x2EA33,npc,geometry,,,6.5,3780,7,14,5834.1
0x3316F,npc,geometry,,,6.5,933,2,9,585.3
0x330D0,npc,geometry,,,6.5,2507,9,16,3814.9
0x33C50,npc,geometry,,,6.5,908,6,6,2816.4
0x33C51,npc,geometry,,,6.5,784,5,5,2782.6
0x33CD5,npc,geometry,,,6.5,1034,3,9,1887.2
0x33897,npc,geometry,,,6.5,1514,8,7,2782.6
0x3389A,npc,geometry,,,6.5,1542,7,7,2038.4
0x33E55,npc,geometry,,,6.5,1680,5,8,561.8
0x340E0,npc,geometry,,,6.5,1783,5,6,561.8
0x35847,npc,geometry,,,6.5,2257,3,6,5121.9
0x3492A,npc,geometry,,,6.5,532,3,8,215.9
0x34A5E,npc,geometry,,,6.5,2234,7,17,2653.2
0x3928,npc,geometry,,,6.5,632,2,4,836.5
0x3BAD,npc,geometry,,,6.5,630,35,5,1888.3
0x3C30C,npc,geometry,,,6.5,1034,3,9,1887.2
0x3C469,npc,geometry,,,6.5,2234,7,17,2653.2
0x3C8C3,npc,geometry,,,6.5,908,6,6,2816.4
0x3C8C4,npc,geometry,,,6.5,784,5,5,2782.6
0x3CEA3,npc,geometry,,,6.5,1680,5,8,561.8
0x3D0CD,npc,geometry,,,6.5,1514,8,7,2782.6
0x3CBF6,npc,geometry,,,6.5,1126,6,11,1755.8
0x3D5C2,npc,geometry,,,6.5,2990,2,5,3427.4
0x3DDF5,npc,geometry,,,6.5,1783,5,6,561.8
0x3E03B,npc,geometry,,,6.5,697,2,6,1342.5
0x40E47,npc,geometry,,,6.5,532,3,8,215.9
0x4244B,npc,geometry,,,6.5,1542,7,7,2038.4
0x4206F,npc,geometry,,,6.5,649,3,6,970.3
0x43B3A,npc,geometry,,,6.5,541,2,3,85.8
0x45C56,npc,geometry,,,6.5,985,3,4,948.4
0x45CD5,npc,geometry,,,6.5,1626,3,4,1014.4
0x45A8,npc,geometry,,,6.5,839,3,6,1387.0
0x45EC1,npc,geometry,,,6.5,933,2,9,585.3
0x45F60,npc,geometry,,,6.5,847,3,9,115.1
0x46243,npc,geometry,,,6.5,504,2,7,2679.6
0x463E9,npc,geometry,,,6.5,811,6,14,2594.1
0x46565,npc,geometry,,,6.5,4116,3,8,34675.0
0x465D3,npc,geometry,,,6.5,624,3,9,1423.1
0x467BB,npc,geometry,,,6.5,970,3,6,894.2
0x4661F,npc,geometry,,,6.5,620,3,9,2359.4
0x46697,npc,geometry,,,6.5,1237,2,5,978.3
0x46699,npc,geometry,,,6.5,829,3,12,1298.7
0x466FF,npc,geometry,,,6.5,524,3,8,1419.8
0x46833,npc,geometry,,,6.5,630,2,5,1036.5
0x46B32,npc,geometry,,,6.5,510,2,6,2251.4
0x46DC8,npc,geometry,,,6.5,773,4,8,6022.5
0x46E0C,npc,geometry,,,6.5,2992,6,11,6976.6
0x47252,npc,geometry,,,6.5,538,2,6,2968.5
0x4714B,npc,geometry,,,6.5,4401,10,19,5929.9
0x4714E,npc,geometry,,,6.5,4401,9,17,5724.5
0x472A7,npc,geometry,,,6.5,2345,11,19,5872.6
0x47569,npc,geometry,,,6.5,2051,10,15,5137.2
0x47580,npc,geometry,,,6.5,1418,6,11,5123.9
0x47599,npc,geometry,,,6.5,2816,6,11,5123.9
0x475CF,npc,geometry,,,6.5,1594,6,11,6976.6
0x47C2,npc,geometry,,,6.5,656,2,3,693.3
0x47418,npc,geometry,,,6.5,4401,9,17,5239.5
0x4984,npc,geometry,,,6.5,508,2,3,2992.8
0x4C2EC,npc,geometry,,,6.5,985,3,4,948.4
0x4D172,npc,geometry,,,6.5,2816,6,11,5123.9
0x4D177,npc,geometry,,,6.5,2536,5,9,1877.8
0x4D674,npc,geometry,,,6.5,811,6,14,2594.1
0x4D6A5,npc,geometry,,,6.5,1809,5,16,1234.8
0x4DD32,npc,geometry,,,6.5,510,2,6,2251.4
0x4DE84,npc,geometry,,,6.5,1237,2,5,978.3
0x4DD41,npc,geometry,,,6.5,1191,5,15,442.9
0x4DDA2,npc,geometry,,,6.5,620,3,9,2359.4
0x4DDA5,npc,geometry,,,6.5,624,3,9,1423.1
0x4DF4F,npc,geometry,,,6.5,630,2,5,1036.5
0x4E12C,npc,geometry,,,6.5,970,3,6,894.2
0x4F3D2,npc,geometry,,,6.5,2583,11,20,5846.2
0x4F3DC,npc,geometry,,,6.5,504,2,6,2992.8
0x4E700,npc,geometry,,,6.5,2992,6,11,6976.6
0x4F352,npc,geometry,,,6.5,538,2,6,2968.5
0x4F361,npc,geometry,,,6.5,2981,12,24,5689.1
0x4F50A,npc,geometry,,,6.5,3734,12,21,5846.2
0x4F50D,npc,geometry,,,6.5,3851,13,21,5605.6
0x4F50E,npc,geometry,,,6.5,3521,13,21,5605.6
0x4F52B,npc,geometry,,,6.5,554,4,8,2908.5
0x4F420,npc,geometry,,,6.5,717,5,17,246.9
0x4F47A,npc,geometry,,,6.5,902,5,15,529.4
0x4F659,npc,geometry,,,6.5,1594,6,11,6976.6
0x4F65A,npc,geometry,,,6.5,1418,6,11,5123.9
0x4F672,npc,geometry,,,6.5,3036,6,11,2323.4
0x4F5AC,npc,geometry,,,6.5,19259,11,16,6294.3
0x4F5B7,npc,geometry,,,6.5,3675,11,17,11145.6
0x50871,npc,geometry,,,6.5,829,3,12,1298.7
0x50E96,npc,geometry,,,6.5,1809,5,16,1234.8
0x516B8,npc,geometry,,,6.5,1097,3,4,1066.7
0x52CEB,npc,geometry,,,6.5,3734,12,21,5846.2
0x50EA2,npc,geometry,,,6.5,1191,5,15,442.9
0x5106B,npc,geometry,,,6.5,717,5,17,246.9
0x5761,npc,geometry,,,6.5,632,2,5,2968.5
0x5AE23,npc,geometry,,,6.5,568,2,1,58.2
0x5AEB3,npc,geometry,,,6.5,568,2,1,57.3
0x5AF3D,npc,geometry,,,6.5,568,2,1,58.2
0x5AFC7,npc,geometry,,,6.5,568,2,1,58.2
0x5B04D,npc,geometry,,,6.5,568,2,1,58.2
0x5B0BB,npc,geometry,,,6.5,568,2,1,58.2
0x5B12D,npc,geometry,,,6.5,568,2,1,58.2
0x5B1B7,npc,geometry,,,6.5,566,2,1,58.2
0x5B2BD,npc,geometry,,,6.5,568,2,1,58.2
0x5B39C,npc,geometry,,,6.5,568,2,1,58.2
0x5B3B6,npc,geometry,,,6.5,568,2,1,58.2
0x5B3BD,npc,geometry,,,6.5,568,2,1,58.2
0x5B3C4,npc,geometry,,,6.5,568,2,1,58.2
0x5B3D1,npc,geometry,,,6.5,566,2,1,58.2
0x5CE51,npc,geometry,,,6.5,2248,29,4,445.7
0x5CE34,npc,geometry,,,6.5,1085,2,5,1066.7
0x5CE36,npc,geometry,,,6.5,1214,2,5,1111.9
0x6321,npc,geometry,,,6.5,603,3,13,218.3
0xCF2A,npc,geometry,,,6.5,5189,6,12,10427.6
0x5D02B,npc,geometry,,,6.5,3675,11,17,11145.6
0xF136,npc,geometry,,,6.5,1085,2,5,1066.7
0xF53E,npc,geometry,,,6.5,585,3,4,115.3
0xE6C7,npc,geometry,,,6.5,847,3,9,115.1
0xF5CE,npc,geometry,,,6.5,934,3,4,115.3
0x5CFD8,npc,geometry,,,6.5,4401,9,17,5239.5
0x5D008,npc,geometry,,,6.5,4401,10,19,5929.9
0x5D00A,npc,geometry,,,6.5,4401,9,17,5724.5
0x5D00F,npc,geometry,,,6.5,2345,11,19,5872.6
0x5D011,npc,geometry,,,6.5,2981,12,24,5689.1
0x5D016,npc,geometry,,,6.5,2583,11,20,5846.2
0x5D01E,npc,geometry,,,6.5,3734,12,21,5846.2
0x5D01F,npc,geometry,,,6.5,3851,13,21,5605.6
0x5D020,npc,geometry,,,6.5,3521,13,21,5605.6
0x5D027,npc,geometry,,,6.5,2051,10,15,5137.2
0x5D028,npc,geometry,,,6.5,19259,11,16,6294.3
0x2E136,npc,geometry,,,6.49,1552,5,9,4469.8
0x4F52A,npc,geometry,,,6.49,1291,5,12,4469.8
0x4882E,npc,geometry,,,6.48,2367,8,10,110.1
0x4F5C4,npc,geometry,,,6.48,3115,10,17,12257.8
0x5D02F,npc,geometry,,,6.48,3115,10,17,12257.8
0x1B877,npc,geometry,,,6.47,505,3,5,1200.0
0x215A7,npc,geometry,,,6.47,505,3,5,1200.0
0x3C232,npc,geometry,,,6.47,511,2,10,619.5
0x45EBF,npc,geometry,,,6.47,511,2,10,619.5
0x21C3E,npc,geometry,,,6.45,1586,6,6,1239.8
0x8F29,npc,geometry,,,6.45,1586,6,6,1239.8
0x5657A,npc,geometry,,,6.41,1470,3,8,606.8
0x45F0A,npc,geometry,,,6.39,606,2,7,682.0
0x4609D,npc,geometry,,,6.39,2356,4,10,2393.7
0x4D1DF,npc,geometry,,,6.39,2356,4,10,2393.7
0x5996B,npc,geometry,,,6.39,783,3,1,44.6
0x59A1F,npc,geometry,,,6.39,783,3,1,44.6
0x59ABF,npc,geometry,,,6.39,783,3,1,44.6
0xA403,npc,geometry,,,6.39,606,2,7,682.0
0x21693,npc,geometry,,,6.38,750,2,4,1231.7
0x2E41,npc,geometry,,,6.38,750,2,4,1231.7
0x33083,npc,geometry,,,6.38,1668,7,13,1798.2
0x3CBAB,npc,geometry,,,6.38,1668,7,13,1798.2
0x1F418,npc,geometry,,,6.37,794,5,8,822.3
0x28F4C,npc,geometry,,,6.37,794,5,8,822.3
0x467BC,npc,geometry,,,6.37,734,3,6,731.7
0x4E12B,npc,geometry,,,6.37,734,3,6,731.7
0x2185A,npc,geometry,,,6.36,582,3,4,1387.1
0xEFF1,npc,geometry,,,6.36,582,3,4,1387.1
0x598B5,npc,geometry,,,6.35,783,3,1,44.0
0x2E0F0,npc,geometry,,,6.33,1374,3,2,69.9
0x46B41,npc,geometry,,,6.33,853,2,6,2333.8
0x4DE65,npc,geometry,,,6.33,853,2,6,2333.8
0x3CBB1,npc,geometry,,,6.3,939,4,8,1622.4
0x467BA,npc,geometry,,,6.28,1152,3,6,1050.2
0x4E133,npc,geometry,,,6.28,1152,3,6,1050.2
0x475DA,npc,geometry,,,6.27,2031,3,3,1120.0
0x4F660,npc,geometry,,,6.27,2031,3,3,1120.0
0x3838B,npc,geometry,,,6.26,960,3,8,228.0
0x40E46,npc,geometry,,,6.26,960,3,8,228.0
0x216F3,npc,geometry,,,6.24,543,2,4,999.8
0x2E42,npc,geometry,,,6.24,543,2,4,999.8
0x28E65,npc,geometry,,,6.23,513,6,3,76.0
0x48826,npc,geometry,,,6.23,2034,4,4,80.8
0x2E0C7,npc,geometry,,,6.22,1507,3,2,73.6
0x2D17D,npc,geometry,,,6.21,1913,2,2,80.1
0x44BD1,npc,geometry,,,6.21,1913,2,2,80.1
0x2E2A2,npc,geometry,,,6.21,642,2,2,627.5
0x1B7C9,npc,geometry,,,6.2,2335,10,13,1856.3
0x21528,npc,geometry,,,6.2,2335,10,13,1856.3
0x1B799,npc,geometry,,,6.19,916,9,10,444.6
0x21517,npc,geometry,,,6.19,916,9,10,444.6
0x3BE9E,npc,geometry,,,6.19,1281,3,2,79.7
0x47302,npc,geometry,,,6.19,2286,5,15,5121.9
0x47303,npc,geometry,,,6.19,2286,5,15,3568.3
0x47520,npc,geometry,,,6.19,2286,5,13,3568.3
0x5104D,npc,geometry,,,6.19,2286,5,15,5121.9
0x51060,npc,geometry,,,6.19,2286,5,15,3568.3
0x5107E,npc,geometry,,,6.19,2286,5,13,3568.3
0x2E0D1,npc,geometry,,,6.18,1501,3,2,71.6
0x3BEBE,npc,geometry,,,6.18,1339,3,3,79.0
0x46573,npc,geometry,,,6.18,1707,2,5,2371.9
0x4DD21,npc,geometry,,,6.18,1707,2,5,2371.9
0x1C1F4,npc,geometry,,,6.17,3259,2,4,4228.2
0x216F5,npc,geometry,,,6.17,543,2,4,951.2
0x21E5E,npc,geometry,,,6.17,3259,2,4,4228.2
0x229AC,npc,geometry,,,6.17,1063,3,4,368.9
0x22B62,npc,geometry,,,6.17,1070,4,4,368.9
0x2E44,npc,geometry,,,6.17,543,2,4,951.2
0x332C6,npc,geometry,,,6.17,651,4,4,1736.1
0x3C314,npc,geometry,,,6.17,651,4,4,1736.1
0x45BD2,npc,geometry,,,6.17,1070,4,4,368.9
0x5CE48,npc,geometry,,,6.17,1063,3,4,368.9
0x25B38,npc,geometry,,,6.16,761,4,7,1879.7
0x2D841,npc,geometry,,,6.16,761,4,7,1879.7
0x2647D,npc,geometry,,,6.15,1072,4,10,1009.7
0x28EDD,npc,geometry,,,6.15,763,4,10,1009.7
0x32AE5,npc,geometry,,,6.15,1647,4,3,80.4
0x3BB49,npc,geometry,,,6.15,1647,4,3,80.4
0x3BE18,npc,geometry,,,6.15,2120,4,4,78.7
0x19BD3,npc,geometry,,,6.14,674,3,6,1103.1
0x1F1FD,npc,geometry,,,6.14,606,2,9,623.5
0x21840,npc,geometry,,,6.14,674,3,6,1103.1
0x263B8,npc,geometry,,,6.14,1877,2,4,7437.3
0x26451,npc,geometry,,,6.14,985,5,8,3052.6
0x2D878,npc,geometry,,,6.14,1877,2,4,7437.3
0x2D9B7,npc,geometry,,,6.14,985,5,8,3052.6
0x45EC7,npc,geometry,,,6.14,606,2,9,623.5
0x1F14A,npc,geometry,,,6.13,514,7,7,5337.9
0x1F14D,npc,geometry,,,6.13,514,7,7,5337.9
0x1F150,npc,geometry,,,6.13,514,7,7,5337.9
0x288E9,npc,geometry,,,6.13,514,7,7,5337.9
0x288EA,npc,geometry,,,6.13,514,7,7,5337.9
0x288EB,npc,geometry,,,6.13,514,7,7,5337.9
0x216ED,npc,geometry,,,6.12,514,3,5,856.7
0x2DA1,npc,geometry,,,6.12,514,3,5,856.7
0x5B346,npc,geometry,,,6.12,2647,5,3,81.0
0x1E831,npc,geometry,,,6.08,1414,7,11,1759.3
0x21970,npc,geometry,,,6.08,1414,7,11,1759.3
0x28C4A,npc,geometry,,,6.08,791,4,8,1055.9
0x2DCAC,npc,geometry,,,6.08,791,4,8,1055.9
0x4747D,npc,geometry,,,6.08,610,6,17,1379.3
0x51075,npc,geometry,,,6.08,610,6,17,1379.3
0x2D18A,npc,geometry,,,6.07,1469,5,3,75.9
0x3BB70,npc,geometry,,,6.07,1469,5,3,75.9
0x4670B,npc,geometry,,,6.07,907,2,5,1189.0
0x4DF4C,npc,geometry,,,6.07,907,2,5,1189.0
0x59EFB,npc,geometry,,,6.07,2525,3,4,76.0
0x13922,npc,geometry,,,6.06,1042,6,9,2169.4
0x218AB,npc,geometry,,,6.06,1042,6,9,2169.4
0x46244,npc,geometry,,,6.06,659,2,7,2910.8
0x46BA4,npc,geometry,,,6.06,689,3,11,197.2
0x4E3B3,npc,geometry,,,6.06,689,3,11,197.2
0x50FB2,npc,geometry,,,6.06,689,3,11,197.2
0x22B8C,npc,geometry,,,6.05,963,4,4,352.6
0x2D286,npc,geometry,,,6.05,1539,4,3,75.8
0x4661B,npc,geometry,,,6.05,703,3,8,1553.3
0x4C370,npc,geometry,,,6.05,1539,4,3,75.8
0x4DF38,npc,geometry,,,6.05,703,3,8,1553.3
0x28581,npc,geometry,,,6.03,6334,9,14,4826.4
0x45EB5,npc,geometry,,,6.03,6334,9,14,4826.4
0x1B950,npc,geometry,,,6.02,2881,3,6,1131.3
0x1B6C8,npc,geometry,,,6.02,1000,6,9,2377.8
0x212A0,npc,geometry,,,6.02,763,6,8,78.3
0x214F3,npc,geometry,,,6.02,1000,6,9,2377.8
0x21F6A,npc,geometry,,,6.02,584,5,5,78.3
0x2E0EB,npc,geometry,,,6.02,1848,7,5,78.6
0x32BB9,npc,geometry,,,6.02,1532,3,2,74.3
0x3EAF4,npc,geometry,,,6.02,1532,3,2,74.3
0x45E7F,npc,geometry,,,6.02,2881,3,6,1131.3
0xE24B,npc,geometry,,,6.02,584,5,5,78.3
0x3BC76,npc,geometry,,,6.01,1828,5,5,74.2
0x22BA0,npc,geometry,,,6.01,1713,5,4,76.6
0x32BD2,npc,geometry,,,6.01,1614,4,3,74.3
0x4C356,npc,geometry,,,6.01,1713,5,4,76.6
0x5626E,npc,geometry,,,6.01,722,2,5,179.5
0x2E0D8,npc,geometry,,,6.0,1647,4,4,72.4
0x32BE1,npc,geometry,,,6.0,1447,3,3,74.1
0x35737,npc,geometry,,,6.0,1200,3,5,1156.3
0x45C32,npc,geometry,,,6.0,1447,3,3,74.1
0x28B16,npc,geometry,,,5.99,593,4,10,247.5
0x2F2E9,npc,geometry,,,5.99,593,4,10,247.5
0x2D131,npc,geometry,,,5.99,2072,5,3,73.6
0x3BB71,npc,geometry,NPC assassin female,,5.99,2072,5,3,73.6
0x1FC47,npc,geometry,,,5.99,1389,2,3,59.5
0x32BCD,npc,geometry,,,5.99,1440,3,2,73.7
0x3BEE1,npc,geometry,,,5.99,1440,3,2,73.7
0x44B94,npc,geometry,,,5.99,1389,2,3,59.5
0x1C835,npc,geometry,,,5.98,1428,3,3,73.4
0x4C302,npc,geometry,,,5.98,1428,3,3,73.4
0x2D260,npc,geometry,,,5.98,1520,6,4,73.6
0x4C36F,npc,geometry,,,5.98,1520,6,4,73.6
0x28BD2,npc,geometry,,,5.98,2867,10,14,4122.0
0x420F5,npc,geometry,,,5.98,1349,3,2,73.0
0x25928,npc,geometry,,,5.97,3234,7,5,423.5
0x32C5B,npc,geometry,,,5.97,1474,3,2,72.9
0x3BDF3,npc,geometry,,,5.97,1585,3,2,73.0
0x3BE96,npc,geometry,,,5.97,1253,3,2,72.9
0x3BEDD,npc,geometry,,,5.97,1525,4,3,72.9
0x3BEF1,npc,geometry,,,5.97,1511,4,3,72.9
0x3BEF6,npc,geometry,,,5.97,1549,2,3,72.9
0x3BF72,npc,geometry,,,5.97,1474,3,2,72.9
0x3EAF5,npc,geometry,,,5.97,1549,2,3,72.9
0x45C30,npc,geometry,,,5.97,1525,4,3,72.9
0x45C33,npc,geometry,,,5.97,1511,4,3,72.9
0x4661C,npc,geometry,,,5.97,651,3,8,1451.6
0x47231,npc,geometry,,,5.97,3252,6,7,423.5
0x4DF39,npc,geometry,,,5.97,651,3,8,1451.6
0x4F34A,npc,geometry,,,5.97,3252,6,7,423.5
0x2995E,npc,geometry,,,5.96,1641,4,3,74.4
0x44B63,npc,geometry,,,5.96,1641,4,3,74.4
0x32B8C,npc,geometry,,,5.96,1451,6,3,77.3
0x32C60,npc,geometry,,,5.96,1404,3,2,72.7
0x3EAF6,npc,geometry,,,5.96,1404,3,2,72.7
0x42104,npc,geometry,,,5.96,1985,5,3,73.2
0x42128,npc,geometry,,,5.96,1961,3,2,73.2
0x45C29,npc,geometry,,,5.96,1451,6,3,77.3
0x22ACB,npc,geometry,,,5.95,1259,4,4,345.2
0x2D194,npc,geometry,,,5.95,1330,3,2,58.3
0x2D1D0,npc,geometry,,,5.95,1443,4,2,72.5
0x2D290,npc,geometry,,,5.95,1601,7,3,72.7
0x32C24,npc,geometry,,,5.95,1424,3,2,58.5
0x3BC5D,npc,geometry,,,5.95,1443,4,2,72.5
0x3BE0C,npc,geometry,,,5.95,1500,3,3,72.5
0x44BD5,npc,geometry,,,5.95,1330,3,2,58.3
0x44BEE,npc,geometry,,,5.95,1424,3,2,58.5
0x45C0B,npc,geometry,,,5.95,1500,3,3,72.5
0x463E8,npc,geometry,,,5.95,1079,6,14,2177.1
0x4D448,npc,geometry,,,5.95,1079,6,14,2177.1
0x1FC56,npc,geometry,,,5.94,1797,3,4,74.4
0x2D1A3,npc,geometry,,,5.94,1606,3,2,74.3
0x2D1C1,npc,geometry,,,5.94,1545,3,2,72.2
0x3BB83,npc,geometry,,,5.94,1797,3,4,74.4
0x3BC17,npc,geometry,,,5.94,1545,3,2,72.2
0x44BC9,npc,geometry,,,5.94,1606,3,2,74.3
0x4C44F,npc,geometry,,,5.94,2045,3,1,72.3
0x50C48,npc,geometry,,,5.94,2045,3,1,72.3
0x528AB,npc,geometry,,,5.94,2048,5,5,72.3
0x4C44C,npc,geometry,,,5.94,2048,5,5,72.3
0x14DD7,npc,geometry,,,5.94,1490,5,6,293.8
0x22B33,npc,geometry,,,5.94,1494,5,3,73.9
0x22B5C,npc,geometry,,,5.94,1448,4,4,345.2
0x25D2C,npc,geometry,,,5.94,761,4,7,1535.8
0x28B4D,npc,geometry,,,5.94,761,4,7,1535.8
0x28B4E,npc,geometry,,,5.94,761,4,7,1535.8
0x28EC2,npc,geometry,,,5.94,761,4,7,1535.8
0x2D245,npc,geometry,,,5.94,1470,3,2,72.1
0x2D6C3,npc,geometry,,,5.94,761,4,7,1535.8
0x2DFCB,npc,geometry,,,5.94,761,4,7,1535.8
0x2E545,npc,geometry,,,5.94,761,4,7,1535.8
0x2E6B2,npc,geometry,,,5.94,761,4,7,1535.8
0x32C56,npc,geometry,,,5.94,1462,5,3,72.9
0x32C6A,npc,geometry,,,5.94,1288,3,2,72.3
0x3BB7C,npc,geometry,,,5.94,1494,5,3,73.9
0x3BC0D,npc,geometry,,,5.94,1470,3,2,72.1
0x3BCD0,npc,geometry,,,5.94,1614,4,3,72.1
0x3BCD3,npc,geometry,,,5.94,1661,3,3,72.1
0x3BE45,npc,geometry,,,5.94,1635,3,4,72.1
0x3BE68,npc,geometry,,,5.94,1324,2,3,72.1
0x44BE1,npc,geometry,,,5.94,1528,4,2,59.4
0x45C10,npc,geometry,,,5.94,1614,4,3,72.1
0x4C3AD,npc,geometry,,,5.94,1635,3,4,72.1
0x4C3AE,npc,geometry,,,5.94,1661,3,3,72.1
0x4DDC9,npc,geometry,,,5.94,5568,11,19,10984.0
0x5CFE0,npc,geometry,,,5.94,5568,11,19,10984.0
0x2D1C6,npc,geometry,,,5.93,1566,3,2,71.8
0x2D225,npc,geometry,,,5.93,1796,7,5,74.2
0x3EC98,npc,geometry,,,5.93,1405,3,2,71.7
0x3BC5C,npc,geometry,,,5.93,1566,3,2,71.8
0x3BD16,npc,geometry,,,5.93,1405,3,2,71.7
0x45BE1,npc,geometry,,,5.93,1796,7,5,74.2
0x528AA,npc,geometry,,,5.93,2210,5,5,72.3
0x4C449,npc,geometry,,,5.93,2210,5,5,72.3
0x1FC72,npc,geometry,,,5.93,1729,4,3,74.1
0x2998D,npc,geometry,,,5.93,1401,3,2,72.9
0x32BD7,npc,geometry,,,5.93,1485,2,2,71.8
0x32C29,npc,geometry,,,5.93,1751,3,2,58.2
0x3BC02,npc,geometry,,,5.93,1401,3,2,72.9
0x3BC47,npc,geometry,,,5.93,1763,2,2,74.0
0x3BD82,npc,geometry,,,5.93,2252,6,5,72.1
0x3BDE9,npc,geometry,,,5.93,1442,4,3,72.0
0x3BE02,npc,geometry,,,5.93,1437,3,3,71.8
0x420DD,npc,geometry,,,5.93,2252,6,5,72.1
0x44BEF,npc,geometry,,,5.93,1751,3,2,58.2
0x45C07,npc,geometry,,,5.93,1442,4,3,72.0
0x45C09,npc,geometry,,,5.93,1437,3,3,71.8
