file,name,wiki,categories
Alitta's_Focus.png,Alitta's Focus,https://wiki.guildwars.com/wiki/Alitta%27s_Focus,ArenaNet weapon icons|Unique focus icons
Aloe_Root.png,Aloe Root,https://wiki.guildwars.com/wiki/Aloe_Root,ArenaNet icons|Quest item icons
Alpine_Seed.png,Alpine Seed,https://wiki.guildwars.com/wiki/Alpine_Seed,ArenaNet item icons|Trophy icons
Alsin's_Walking_Stick.png,Alsin's Walking Stick,https://wiki.guildwars.com/wiki/Alsin%27s_Walking_Stick,ArenaNet weapon icons|Unique staff icons
Am_Fah_Cape.png,Am Fah Cape,https://wiki.guildwars.com/wiki/Am_Fah_Cape,ArenaNet item icons|Salvage item icons
Amadis'_Air_Staff.png,Amadis' Air Staff,https://wiki.guildwars.com/wiki/Amadis%27_Air_Staff,ArenaNet weapon icons|Unique staff icons
Amber_Aegis.png,Amber Aegis,https://wiki.guildwars.com/wiki/Amber_Aegis,ArenaNet weapon icons|Shield icons
Amber_Bow.png,Amber Bow,https://wiki.guildwars.com/wiki/Amber_Longbow,ArenaNet weapon icons|Bow icons
Amber_Longbow.png,Amber Longbow,https://wiki.guildwars.com/wiki/Amber_Longbow,ArenaNet weapon icons|Bow icons
Amber_Staff.png,Amber Staff,https://wiki.guildwars.com/wiki/Amber_Staff,ArenaNet weapon icons|Staff icons
Amber_Summoning_Stone.png,Amber Summoning Stone,https://wiki.guildwars.com/wiki/Amber_Summoning_Stone,ArenaNet item icons|Summoning stone icons
Amber_Wand.png,Amber Wand,https://wiki.guildwars.com/wiki/Amber_Wand,ArenaNet weapon icons|Wand icons
Amethyst_Aegis.png,Amethyst Aegis,https://wiki.guildwars.com/wiki/Amethyst_Aegis,ArenaNet weapon icons|Shield icons
Amiresh's_Piety.png,Amiresh's Piety,https://wiki.guildwars.com/wiki/Amiresh%27s_Piety,ArenaNet weapon icons|Unique focus icons
Amphibian_Tongue.png,Amphibian Tongue,https://wiki.guildwars.com/wiki/Amphibian_Tongue,ArenaNet item icons|Trophy icons
Amulet_of_the_Mists.png,Amulet of the Mists,https://wiki.guildwars.com/wiki/Amulet_of_the_Mists,ArenaNet item icons|End-game reward trophy icons|Items with shared icons
Anchorite's_Insignia.png,Anchorite's Insignia,https://wiki.guildwars.com/wiki/Anchorite%27s_Insignia,ArenaNet armor icons|Insignia icons
Ancient_Artifact.png,Ancient Artifact,https://wiki.guildwars.com/wiki/Ancient_Artifact,ArenaNet item icons|Reward trophy icons
Ancient_Axe.png,Ancient Axe,https://wiki.guildwars.com/wiki/Ancient_Axe,ArenaNet weapon icons|Axe icons
Ancient_Daggers_(common).png,Ancient Daggers (common),https://wiki.guildwars.com/wiki/Ancient_Daggers_%28common%29,ArenaNet weapon icons|Dagger icons
Ancient_Daggers_(rare).png,Ancient Daggers (rare),https://wiki.guildwars.com/wiki/Ancient_Daggers_%28rare%29,ArenaNet weapon icons|Dagger icons
Ancient_Daggers_(uncommon).png,Ancient Daggers (uncommon),https://wiki.guildwars.com/wiki/Ancient_Daggers_%28uncommon%29,ArenaNet weapon icons|Dagger icons
Ancient_Elonian_Key.png,Ancient Elonian Key,https://wiki.guildwars.com/wiki/Key,ArenaNet icons|Key icons
Ancient_Eye.png,Ancient Eye,https://wiki.guildwars.com/wiki/Ancient_Eye,ArenaNet item icons|Trophy icons
Ancient_Flatbow.png,Ancient Flatbow,https://wiki.guildwars.com/wiki/Ancient_Flatbow,ArenaNet weapon icons|Bow icons
Ancient_Hornbow.png,Ancient Hornbow,https://wiki.guildwars.com/wiki/Ancient_Hornbow,ArenaNet weapon icons|Bow icons
Ancient_Kappa_Shell.png,Ancient Kappa Shell,https://wiki.guildwars.com/wiki/Ancient_Kappa_Shell,ArenaNet item icons|Trophy icons
Ancient_Lodestone.png,Ancient Lodestone,https://wiki.guildwars.com/wiki/Ancient_Lodestone,ArenaNet item icons|Salvage item icons|Trophy icons
Ancient_Longbow.png,Ancient Longbow,https://wiki.guildwars.com/wiki/Ancient_Longbow,ArenaNet weapon icons|Bow icons
Ancient_Moss_Staff.png,Ancient Moss Staff,https://wiki.guildwars.com/wiki/Ancient_Moss_Staff,ArenaNet weapon icons|Staff icons
Ancient_Parchment.png,Ancient Parchment,https://wiki.guildwars.com/wiki/Ancient_Parchment,ArenaNet icons|Quest item icons
Ancient_Recurve_Bow.png,Ancient Recurve Bow,https://wiki.guildwars.com/wiki/Ancient_Recurve_Bow,ArenaNet weapon icons|Bow icons
Ancient_Rod.png,Ancient Rod,https://wiki.guildwars.com/wiki/Ancient_Rod,ArenaNet weapon icons|Wand icons
Ancient_Scythe_(dual).png,Ancient Scythe (dual),,ArenaNet weapon icons|Scythe icons
Ancient_Scythe_(quad).png,Ancient Scythe (quad),,ArenaNet weapon icons|Scythe icons
Ancient_Scythe_(single).png,Ancient Scythe (single),,ArenaNet weapon icons|Scythe icons
Ancient_Shield.png,Ancient Shield,https://wiki.guildwars.com/wiki/Ancient_Shield,ArenaNet weapon icons|Shield icons
Ancient_Shortbow.png,Ancient Shortbow,https://wiki.guildwars.com/wiki/Ancient_Shortbow,ArenaNet weapon icons|Bow icons
Animal_Hide.png,Animal Hide,https://wiki.guildwars.com/wiki/Animal_Hide,ArenaNet item icons|Trophy icons
Antiquated_Focus.png,Antiquated Focus,https://wiki.guildwars.com/wiki/Antiquated_Focus,ArenaNet weapon icons|Unique focus icons
Antiquated_Rod.png,Antiquated Rod,https://wiki.guildwars.com/wiki/Antiquated_Rod,ArenaNet weapon icons|Unique wand icons
Antiquated_Staff.png,Antiquated Staff,https://wiki.guildwars.com/wiki/Antiquated_Staff,ArenaNet weapon icons|Unique staff icons
Anton_Gloves.png,Anton Gloves,,ArenaNet armor icons|Hero armor icons
Anton_Guise.png,Anton Guise,,ArenaNet armor icons|Hero armor icons
Anton_Leggings.png,Anton Leggings,,ArenaNet armor icons|Hero armor icons
Anton_Mask.png,Anton Mask,,ArenaNet armor icons|Hero armor icons
Anton_Shoes.png,Anton Shoes,,ArenaNet armor icons|Hero armor icons
Arachni's_Longbow.png,Arachni's Longbow,https://wiki.guildwars.com/wiki/Arachni%27s_Longbow,ArenaNet weapon icons|Unique bow icons
Arachni's_Scythe.png,Arachni's Scythe,https://wiki.guildwars.com/wiki/Arachni%27s_Scythe,ArenaNet weapon icons|Unique scythe icons
Arachni's_Staff.png,Arachni's Staff,https://wiki.guildwars.com/wiki/Arachni%27s_Staff,ArenaNet weapon icons|Unique staff icons
Arbor's_Earth_Staff.png,Arbor's Earth Staff,https://wiki.guildwars.com/wiki/Arbor%27s_Earth_Staff,ArenaNet weapon icons|Unique staff icons
Arcane_Crystal_Shard.png,Arcane Crystal Shard,https://wiki.guildwars.com/wiki/Arcane_Crystal_Shard,ArenaNet icons|Quest item icons
Arcane_Scepter.png,Arcane Scepter,https://wiki.guildwars.com/wiki/Arcane_Scepter,ArenaNet weapon icons|Wand icons
Arcane_Staff.png,Arcane Staff,https://wiki.guildwars.com/wiki/Arcane_Staff,ArenaNet weapon icons|Staff icons
Archaic_Axe.png,Archaic Axe,https://wiki.guildwars.com/wiki/Archaic_Axe,ArenaNet weapon icons|Axe icons
Archaic_Hammer.png,Archaic Hammer,https://wiki.guildwars.com/wiki/Archaic_Hammer,ArenaNet weapon icons|Hammer icons
Archaic_Kappa_Shell.png,Archaic Kappa Shell,https://wiki.guildwars.com/wiki/Archaic_Kappa_Shell,ArenaNet item icons|Trophy icons
Archaic_Maul.png,Archaic Maul,https://wiki.guildwars.com/wiki/Archaic_Maul,ArenaNet weapon icons|Hammer icons
Arctic_Summoning_Stone.png,Arctic Summoning Stone,https://wiki.guildwars.com/wiki/Arctic_Summoning_Stone,ArenaNet item icons|Summoning stone icons
Ardeh's_Daggers.png,Ardeh's Daggers,https://wiki.guildwars.com/wiki/Ardeh%27s_Daggers,ArenaNet weapon icons|Unique dagger icons
Armbrace_of_Truth.png,Armbrace of Truth,https://wiki.guildwars.com/wiki/Armbrace_of_Truth,ArenaNet item icons|Reward trophy icons
Armind's_Focus.png,Armind's Focus,https://wiki.guildwars.com/wiki/Armind%27s_Focus,ArenaNet weapon icons|Unique focus icons
Armor_of_Salvation.png,Armor of Salvation,https://wiki.guildwars.com/wiki/Armor_of_Salvation,ArenaNet item icons|Consumable icons
Arneh's_Fury.png,Arneh's Fury,https://wiki.guildwars.com/wiki/Arneh%27s_Fury,ArenaNet weapon icons|Unique shield icons
Arrahhsh's_Aegis.png,Arrahhsh's Aegis,https://wiki.guildwars.com/wiki/Arrahhsh%27s_Aegis,ArenaNet weapon icons|Unique shield icons
Arrowblade_Daggers.png,Arrowblade Daggers,https://wiki.guildwars.com/wiki/Arrowblade_Daggers,ArenaNet weapon icons|Dagger icons
Artificer's_Insignia.png,Artificer's Insignia,https://wiki.guildwars.com/wiki/Artificer%27s_Insignia,ArenaNet armor icons|Insignia icons
Ascalon_Axe.png,Ascalon Axe,https://wiki.guildwars.com/wiki/Ascalon_Axe,ArenaNet weapon icons|Axe icons
Ascalon_Census.png,Ascalon Census,https://wiki.guildwars.com/wiki/Ascalon_Census,ArenaNet icons|Quest item icons
Ascalon_Flatbow.png,Ascalon Flatbow,https://wiki.guildwars.com/wiki/Ascalon_Bow,ArenaNet weapon icons|Bow icons
Ascalon_Hornbow.png,Ascalon Hornbow,https://wiki.guildwars.com/wiki/Ascalon_Bow,ArenaNet weapon icons|Bow icons
Ascalon_Maul.png,Ascalon Maul,https://wiki.guildwars.com/wiki/Ascalon_Maul,ArenaNet weapon icons|Hammer icons
Ascalon_Razor.png,Ascalon Razor,https://wiki.guildwars.com/wiki/Ascalon_Razor,ArenaNet weapon icons|Sword icons
Ascalon_Recurve_Bow.png,Ascalon Recurve Bow,https://wiki.guildwars.com/wiki/Ascalon_Bow,ArenaNet weapon icons|Bow icons
Ascalon_Shortbow.png,Ascalon Shortbow,https://wiki.guildwars.com/wiki/Ascalon_Bow,ArenaNet weapon icons|Bow icons
Ascalon_bow.png,Ascalon bow,,ArenaNet weapon icons|Bow icons
Ascalonian_Key.png,Ascalonian Key,https://wiki.guildwars.com/wiki/Key,ArenaNet item icons|Key icons
Ashen_Wurm_Husk.png,Ashen Wurm Husk,https://wiki.guildwars.com/wiki/Ashen_Wurm_Husk,ArenaNet item icons|Trophy icons
Ashlyn's_Shortbow.png,Ashlyn's Shortbow,https://wiki.guildwars.com/wiki/Ashlyn%27s_Shortbow,ArenaNet weapon icons|Unique bow icons
Aspect_of_the_Lich.png,Aspect of the Lich,https://wiki.guildwars.com/wiki/Raiment_of_the_Lich,ArenaNet armor icons|Costume icons
Assassin_Ancient_Gloves_f.png,Assassin Ancient Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Gloves_m.png,Assassin Ancient Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Guise_f.png,Assassin Ancient Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Guise_m.png,Assassin Ancient Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Leggings_f.png,Assassin Ancient Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Leggings_m.png,Assassin Ancient Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Mask_f.png,Assassin Ancient Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Mask_m.png,Assassin Ancient Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Shoes_f.png,Assassin Ancient Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Ancient_Shoes_m.png,Assassin Ancient Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Gloves_f.png,Assassin Asuran Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Gloves_m.png,Assassin Asuran Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Guise_f.png,Assassin Asuran Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Guise_m.png,Assassin Asuran Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Leggings_f.png,Assassin Asuran Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Leggings_m.png,Assassin Asuran Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Mask_f.png,Assassin Asuran Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Mask_m.png,Assassin Asuran Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Shoes_f.png,Assassin Asuran Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Asuran_Shoes_m.png,Assassin Asuran Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Bladed_Gloves_f.png,Assassin Bladed Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Bladed_Gloves_m.png,Assassin Bladed Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Gloves_f.png,Assassin Elite Luxon Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Gloves_m.png,Assassin Elite Luxon Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Guise_f.png,Assassin Elite Luxon Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Guise_m.png,Assassin Elite Luxon Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Leggings_f.png,Assassin Elite Luxon Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Leggings_m.png,Assassin Elite Luxon Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Mask_f.png,Assassin Elite Luxon Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Mask_m.png,Assassin Elite Luxon Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Shoes_f.png,Assassin Elite Luxon Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Elite_Luxon_Shoes_m.png,Assassin Elite Luxon Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Gloves_f.png,Assassin Exotic Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Gloves_m.png,Assassin Exotic Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Guise_f.png,Assassin Exotic Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Guise_m.png,Assassin Exotic Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Leggings_f.png,Assassin Exotic Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Leggings_m.png,Assassin Exotic Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Mask_f.png,Assassin Exotic Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Mask_m.png,Assassin Exotic Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Shoes_f.png,Assassin Exotic Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Exotic_Shoes_m.png,Assassin Exotic Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Gloves_f.png,Assassin Imperial Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Gloves_m.png,Assassin Imperial Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Guise_f.png,Assassin Imperial Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Guise_m.png,Assassin Imperial Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Leggings_f.png,Assassin Imperial Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Leggings_m.png,Assassin Imperial Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Mask_f.png,Assassin Imperial Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Mask_m.png,Assassin Imperial Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Shoes_f.png,Assassin Imperial Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Imperial_Shoes_m.png,Assassin Imperial Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Gloves_f.png,Assassin Kurzick Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Gloves_m.png,Assassin Kurzick Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Guise_f.png,Assassin Kurzick Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Guise_m.png,Assassin Kurzick Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Leggings_f.png,Assassin Kurzick Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Leggings_m.png,Assassin Kurzick Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Mask_f.png,Assassin Kurzick Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Mask_m.png,Assassin Kurzick Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Shoes_f.png,Assassin Kurzick Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Kurzick_Shoes_m.png,Assassin Kurzick Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Gloves_f.png,Assassin Luxon Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Gloves_m.png,Assassin Luxon Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Guise_f.png,Assassin Luxon Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Guise_m.png,Assassin Luxon Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Leggings_f.png,Assassin Luxon Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Leggings_m.png,Assassin Luxon Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Mask_f.png,Assassin Luxon Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Mask_m.png,Assassin Luxon Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Shoes_f.png,Assassin Luxon Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Luxon_Shoes_m.png,Assassin Luxon Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Gloves_f.png,Assassin Monument Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Gloves_m.png,Assassin Monument Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Guise_f.png,Assassin Monument Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Guise_m.png,Assassin Monument Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Leggings_f.png,Assassin Monument Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Leggings_m.png,Assassin Monument Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Mask_f.png,Assassin Monument Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Mask_m.png,Assassin Monument Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Shoes_f.png,Assassin Monument Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Monument_Shoes_m.png,Assassin Monument Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Gloves_f.png,Assassin Norn Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Gloves_m.png,Assassin Norn Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Guise_f.png,Assassin Norn Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Guise_m.png,Assassin Norn Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Leggings_f.png,Assassin Norn Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Leggings_m.png,Assassin Norn Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Mask_f.png,Assassin Norn Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Mask_m.png,Assassin Norn Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Shoes_f.png,Assassin Norn Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Norn_Shoes_m.png,Assassin Norn Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Gloves_f.png,Assassin Obsidian Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Gloves_m.png,Assassin Obsidian Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Guise_f.png,Assassin Obsidian Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Guise_m.png,Assassin Obsidian Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Leggings_f.png,Assassin Obsidian Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Leggings_m.png,Assassin Obsidian Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Mask_f.png,Assassin Obsidian Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Mask_m.png,Assassin Obsidian Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Shoes_f.png,Assassin Obsidian Shoes f,,ArenaNet armor icons|Assassin armor icons
Assassin_Obsidian_Shoes_m.png,Assassin Obsidian Shoes m,,ArenaNet armor icons|Assassin armor icons
Assassin_Oni_Leggings_f.png,Assassin Oni Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Oni_Leggings_m.png,Assassin Oni Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Gloves_f.png,Assassin Seitung Gloves f,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Gloves_m.png,Assassin Seitung Gloves m,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Guise_f.png,Assassin Seitung Guise f,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Guise_m.png,Assassin Seitung Guise m,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Leggings_f.png,Assassin Seitung Leggings f,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Leggings_m.png,Assassin Seitung Leggings m,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Mask_f.png,Assassin Seitung Mask f,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Mask_m.png,Assassin Seitung Mask m,,ArenaNet armor icons|Assassin armor icons
Assassin_Seitung_Shoes_f.png,Assassin Seitung Shoes f,,ArenaNet armor icons|Assassin armor icons
